year,season,season_order,title,author,publisher,date,description,ISBN,Github_permalink,google_thumbnail,google_smallThumbnail,Cover URL override,cover_url,Github thumbnail,Cover,Style,Man partially unclothed,Woman partially unclothed,Has POC,
2011,Spring,1,"His, Unexpectedly",Susan Fox,Kensington/Brava,2/1/11,,9.78076E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9780758267818.jpg,http://books.google.com/books/content?id=t5rOKTWq3_YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=t5rOKTWq3_YC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,http://books.google.com/books/content?id=t5rOKTWq3_YC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2011,Spring,1,Kiss of Snow,Nalini Singh,Berkley,6/1/11,,9.7811E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781101528723.jpg,http://books.google.com/books/content?id=iNqqxChLh_UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=iNqqxChLh_UC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,http://books.google.com/books/content?id=iNqqxChLh_UC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2011,Spring,1,The Soldier,Grace Burrowes,Sourcebooks Casablanca,6/1/11,,9.7814E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781402245695.jpg,http://books.google.com/books/content?id=bnXMXq1QdsoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=bnXMXq1QdsoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,http://books.google.com/books/content?id=bnXMXq1QdsoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2011,Fall,2,A Night to Surrender,Tessa Dare,Avon,8/1/11,"Dare's first trilogy for Avon features the ladies of Spinster—ahem, Spindle—Cove, and the men determined to win their love.",9.78006E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9780062049834.jpg,http://books.google.com/books/content?id=Lq3UYj7UxkcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Lq3UYj7UxkcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,http://books.google.com/books/content?id=Lq3UYj7UxkcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2011,Fall,2,If You Hear Her,Shiloh Walker,Ballantine,10/1/11,launches a romantic suspense trilogy as Walker's first Ballantine title.,9.78035E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9780345517531.jpg,http://books.google.com/books/content?id=LhONEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=LhONEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=LhONEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2011,Fall,2,In Bed with a Highlander,Maya Banks,Ballantine,8/1/11,Banks's sexy Scottish historical is the first in a back-to-back mass market original trilogy.,9.78035E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9780345519474.jpg,http://books.google.com/books/content?id=hCanG4oxvboC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=hCanG4oxvboC&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=hCanG4oxvboC&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2011,Fall,2,King's Pleasure,Adrianne Byrd,Kimani,11/1/11,The sexy King brothers own a successful bachelor party–planning business and a string of upscale clubs across the country. What could be better than living the single life in some of the world's most glamorous cities? Finding a woman worth giving it all up for.,9.78037E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9780373534494.jpg,http://books.google.com/books/content?id=xfUT_4P69tcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=xfUT_4P69tcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,http://books.google.com/books/content?id=xfUT_4P69tcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,Photorealistic,TRUE,FALSE,TRUE,
2011,Fall,2,Legacy of Love,Donna Hill,Kimani,9/1/11,"On their 30th birthdays, the Beaumont women are said to come into a mysterious ""sixth sense."" And if they choose to give themselves fully to the wrong man, they lose everything.",9.78037E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9780373534555.jpg,http://books.google.com/books/content?id=D2Lg1mDcKY8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=D2Lg1mDcKY8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,http://books.google.com/books/content?id=D2Lg1mDcKY8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,Photorealistic,TRUE,FALSE,TRUE,
2011,Fall,2,Bride of the Night,Heather Graham,HQN,11/1/11,"She's the vampire that could destroy a nation. At least, that's what Pinkerton detective Finn Dunne thinks when he captures Tara Fox aboard a ship sneaking its way northward.",9.78037E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9780373776153.jpg,http://books.google.com/books/content?id=UU7YxEv88l8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=UU7YxEv88l8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,http://books.google.com/books/content?id=UU7YxEv88l8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2011,Fall,2,In Seconds,Brenda Novak,Mira,8/1/11,"Laurel Hodges has been on the run for the past four years, trying to outdistance the gang members who blame her for the death of one of their own. She finds peace in a small town, but how long can it last?",9.78078E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9780778312444.jpg,http://books.google.com/books/content?id=Jy35fNxOufsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Jy35fNxOufsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,http://books.google.com/books/content?id=Jy35fNxOufsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,Photorealistic,FALSE,TRUE,FALSE,
